ID,Branch,City,Customer_type,gender,Product_line,Unit_price,Quantity,Total,cogs,gross_income,rating,new_date,year_added,month_added
319-50-3348,B,Mandalay,Normal,Female,"Home and lifestyle",40.3,2,84.63,80.6,4.03,4.4,2019-03-11,2019,Mar
300-71-4605,C,Naypyitaw,Member,Male,"Electronic accessories",86.04,5,451.71,430.2,21.51,4.8,2019-02-25,2019,Feb
371-85-5789,B,Mandalay,Normal,Male,"Health and beauty",87.98,3,277.137,263.94,13.197,5.1,2019-03-05,2019,Mar
273-16-6619,B,Mandalay,Normal,Male,"Home and lifestyle",33.2,2,69.72,66.4,3.32,4.4,2019-03-15,2019,Mar
636-48-8204,A,Yangon,Normal,Male,"Electronic accessories",34.56,5,181.44,172.8,8.64,9.9,2019-02-17,2019,Feb
549-59-1358,A,Yangon,Member,Male,"Sports and travel",88.63,3,279.1845,265.89,13.2945,6,2019-03-02,2019,Mar
227-03-5010,A,Yangon,Member,Female,"Home and lifestyle",52.59,8,441.756,420.72,21.036,8.5,2019-03-22,2019,Mar
649-29-6775,B,Mandalay,Normal,Male,"Fashion accessories",33.52,1,35.196,33.52,1.676,6.7,2019-02-08,2019,Feb
189-17-4241,A,Yangon,Normal,Female,"Fashion accessories",87.67,2,184.107,175.34,8.767,7.7,2019-03-10,2019,Mar
145-94-9061,B,Mandalay,Normal,Female,"Food and beverages",88.36,5,463.89,441.8,22.09,9.6,2019-01-25,2019,Jan
848-62-7243,A,Yangon,Normal,Male,"Health and beauty",24.89,9,235.2105,224.01,11.2005,7.4,2019-03-15,2019,Mar
871-79-8483,B,Mandalay,Normal,Male,"Fashion accessories",94.13,5,494.1825,470.65,23.5325,4.8,2019-02-25,2019,Feb
149-71-6266,B,Mandalay,Member,Male,"Sports and travel",78.07,9,737.7615,702.63,35.1315,4.5,2019-01-28,2019,Jan
640-49-2076,B,Mandalay,Normal,Male,"Sports and travel",83.78,8,703.752,670.24,33.512,5.1,2019-01-10,2019,Jan
595-11-5460,A,Yangon,Normal,Male,"Health and beauty",96.58,2,202.818,193.16,9.658,5.1,2019-03-15,2019,Mar
183-56-6882,C,Naypyitaw,Member,Female,"Food and beverages",99.42,4,417.564,397.68,19.884,7.5,2019-02-06,2019,Feb
232-16-2483,C,Naypyitaw,Member,Female,"Sports and travel",68.12,1,71.526,68.12,3.406,6.8,2019-01-07,2019,Jan
129-29-8530,A,Yangon,Member,Male,"Sports and travel",62.62,5,328.755,313.1,15.655,7,2019-03-10,2019,Mar
272-65-1806,A,Yangon,Normal,Female,"Electronic accessories",60.88,9,575.316,547.92,27.396,4.7,2019-01-15,2019,Jan
333-73-7901,C,Naypyitaw,Normal,Female,"Health and beauty",54.92,8,461.328,439.36,21.968,7.6,2019-03-23,2019,Mar
777-82-7220,B,Mandalay,Member,Male,"Home and lifestyle",30.12,8,253.008,240.96,12.048,7.7,2019-03-03,2019,Mar
280-35-5823,B,Mandalay,Member,Female,"Home and lifestyle",86.72,1,91.056,86.72,4.336,7.9,2019-01-17,2019,Jan
554-53-8700,C,Naypyitaw,Member,Male,"Home and lifestyle",56.11,2,117.831,112.22,5.611,6.3,2019-02-02,2019,Feb
354-25-5821,B,Mandalay,Member,Female,"Sports and travel",69.12,6,435.456,414.72,20.736,5.6,2019-02-08,2019,Feb
228-96-1411,C,Naypyitaw,Member,Female,"Food and beverages",98.7,8,829.08,789.6,39.48,7.6,2019-03-04,2019,Mar
617-15-4209,C,Naypyitaw,Member,Male,"Health and beauty",15.37,2,32.277,30.74,1.537,7.2,2019-03-16,2019,Mar
132-32-9879,B,Mandalay,Member,Female,"Electronic accessories",93.96,4,394.632,375.84,18.792,9.5,2019-03-09,2019,Mar
370-41-7321,B,Mandalay,Member,Male,"Health and beauty",56.69,9,535.7205,510.21,25.5105,8.4,2019-02-27,2019,Feb
727-46-3608,B,Mandalay,Member,Female,"Food and beverages",20.01,9,189.0945,180.09,9.0045,4.1,2019-02-06,2019,Feb
669-54-1719,B,Mandalay,Member,Male,"Electronic accessories",18.93,6,119.259,113.58,5.679,8.1,2019-02-10,2019,Feb
574-22-5561,C,Naypyitaw,Member,Female,"Fashion accessories",82.63,10,867.615,826.3,41.315,7.9,2019-03-19,2019,Mar
326-78-5178,C,Naypyitaw,Member,Male,"Food and beverages",91.4,7,671.79,639.8,31.99,9.5,2019-02-03,2019,Feb
162-48-8011,A,Yangon,Member,Female,"Food and beverages",44.59,5,234.0975,222.95,11.1475,8.5,2019-02-10,2019,Feb
616-24-2851,B,Mandalay,Member,Female,"Fashion accessories",17.87,4,75.054,71.48,3.574,6.5,2019-03-22,2019,Mar
778-71-5554,C,Naypyitaw,Member,Male,"Fashion accessories",15.43,1,16.2015,15.43,0.7715,6.1,2019-01-25,2019,Jan
242-55-6721,B,Mandalay,Normal,Male,"Home and lifestyle",16.16,2,33.936,32.32,1.616,6.5,2019-03-07,2019,Mar
399-46-5918,C,Naypyitaw,Normal,Female,"Electronic accessories",85.98,8,722.232,687.84,34.392,8.2,2019-02-28,2019,Feb
106-35-6779,A,Yangon,Member,Male,"Home and lifestyle",44.34,2,93.114,88.68,4.434,5.8,2019-03-27,2019,Mar
635-40-6220,A,Yangon,Normal,Male,"Health and beauty",89.6,8,752.64,716.8,35.84,6.6,2019-02-07,2019,Feb
817-48-8732,A,Yangon,Member,Female,"Home and lifestyle",72.35,10,759.675,723.5,36.175,5.4,2019-01-20,2019,Jan
120-06-4233,C,Naypyitaw,Normal,Male,"Electronic accessories",30.61,6,192.843,183.66,9.183,9.3,2019-03-12,2019,Mar
285-68-5083,C,Naypyitaw,Member,Female,"Sports and travel",24.74,3,77.931,74.22,3.711,10,2019-02-15,2019,Feb
803-83-5989,C,Naypyitaw,Normal,Male,"Home and lifestyle",55.73,6,351.099,334.38,16.719,7,2019-02-24,2019,Feb
347-34-2234,B,Mandalay,Member,Female,"Sports and travel",55.07,9,520.4115,495.63,24.7815,10,2019-02-03,2019,Feb
199-75-8169,A,Yangon,Member,Male,"Sports and travel",15.81,10,166.005,158.1,7.905,8.6,2019-03-06,2019,Mar
853-23-2453,B,Mandalay,Member,Male,"Health and beauty",75.74,4,318.108,302.96,15.148,7.6,2019-02-14,2019,Feb
877-22-3308,A,Yangon,Member,Male,"Health and beauty",15.87,10,166.635,158.7,7.935,5.8,2019-03-13,2019,Mar
838-78-4295,C,Naypyitaw,Normal,Female,"Health and beauty",33.47,2,70.287,66.94,3.347,6.7,2019-02-10,2019,Feb
109-28-2512,B,Mandalay,Member,Female,"Fashion accessories",97.61,6,614.943,585.66,29.283,9.9,2019-01-07,2019,Jan
232-11-3025,A,Yangon,Normal,Male,"Sports and travel",78.77,10,827.085,787.7,39.385,6.4,2019-01-24,2019,Jan
382-03-4532,A,Yangon,Member,Female,"Health and beauty",18.33,1,19.2465,18.33,0.9165,4.3,2019-02-02,2019,Feb
393-65-2792,C,Naypyitaw,Normal,Male,"Food and beverages",89.48,10,939.54,894.8,44.74,9.6,2019-01-06,2019,Jan
796-12-2025,C,Naypyitaw,Normal,Male,"Fashion accessories",62.12,10,652.26,621.2,31.06,5.9,2019-02-11,2019,Feb
510-95-6347,B,Mandalay,Member,Female,"Food and beverages",48.52,3,152.838,145.56,7.278,4,2019-03-05,2019,Mar
841-35-6630,C,Naypyitaw,Normal,Female,"Electronic accessories",75.91,6,478.233,455.46,22.773,8.7,2019-03-09,2019,Mar
287-21-9091,A,Yangon,Normal,Male,"Home and lifestyle",74.67,9,705.6315,672.03,33.6015,9.4,2019-01-22,2019,Jan
732-94-0499,C,Naypyitaw,Normal,Female,"Electronic accessories",41.65,10,437.325,416.5,20.825,5.4,2019-01-13,2019,Jan
263-10-3913,C,Naypyitaw,Member,Male,"Fashion accessories",49.04,9,463.428,441.36,22.068,8.6,2019-01-09,2019,Jan
381-20-0914,A,Yangon,Member,Female,"Fashion accessories",20.01,9,189.0945,180.09,9.0045,5.7,2019-01-12,2019,Jan
829-49-1914,C,Naypyitaw,Member,Female,"Food and beverages",78.31,10,822.255,783.1,39.155,6.6,2019-03-05,2019,Mar
756-01-7507,C,Naypyitaw,Normal,Female,"Health and beauty",20.38,5,106.995,101.9,5.095,6,2019-01-22,2019,Jan
870-72-4431,C,Naypyitaw,Normal,Female,"Health and beauty",99.19,6,624.897,595.14,29.757,5.5,2019-01-21,2019,Jan
847-38-7188,B,Mandalay,Normal,Female,"Food and beverages",96.68,3,304.542,290.04,14.502,6.4,2019-01-26,2019,Jan
480-63-2856,C,Naypyitaw,Normal,Male,"Food and beverages",19.25,8,161.7,154,7.7,6.6,2019-01-23,2019,Jan
787-56-0757,C,Naypyitaw,Member,Female,"Food and beverages",80.36,4,337.512,321.44,16.072,8.3,2019-02-23,2019,Feb
360-39-5055,C,Naypyitaw,Member,Male,"Sports and travel",48.91,5,256.7775,244.55,12.2275,6.6,2019-03-09,2019,Mar
730-50-9884,C,Naypyitaw,Normal,Female,"Sports and travel",83.06,7,610.491,581.42,29.071,4,2019-03-05,2019,Mar
362-58-8315,C,Naypyitaw,Normal,Male,"Fashion accessories",76.52,5,401.73,382.6,19.13,9.9,2019-03-25,2019,Mar
633-44-8566,A,Yangon,Member,Male,"Food and beverages",49.38,7,362.943,345.66,17.283,7.3,2019-03-27,2019,Mar
504-35-8843,A,Yangon,Normal,Male,"Sports and travel",42.47,1,44.5935,42.47,2.1235,5.7,2019-01-02,2019,Jan
318-68-5053,B,Mandalay,Normal,Female,"Health and beauty",76.99,6,485.037,461.94,23.097,6.1,2019-02-27,2019,Feb
565-80-5980,C,Naypyitaw,Member,Female,"Home and lifestyle",47.38,4,198.996,189.52,9.476,7.1,2019-01-23,2019,Jan
225-32-0908,C,Naypyitaw,Normal,Female,"Sports and travel",44.86,10,471.03,448.6,22.43,8.2,2019-01-26,2019,Jan
873-51-0671,A,Yangon,Member,Female,"Sports and travel",21.98,7,161.553,153.86,7.693,5.1,2019-01-10,2019,Jan
152-08-9985,B,Mandalay,Member,Male,"Health and beauty",64.36,9,608.202,579.24,28.962,8.6,2019-03-12,2019,Mar
512-91-0811,C,Naypyitaw,Normal,Male,"Health and beauty",89.75,1,94.2375,89.75,4.4875,6.6,2019-02-06,2019,Feb
594-34-4444,A,Yangon,Normal,Male,"Electronic accessories",97.16,1,102.018,97.16,4.858,7.2,2019-03-08,2019,Mar
766-85-7061,B,Mandalay,Normal,Male,"Health and beauty",87.87,10,922.635,878.7,43.935,5.1,2019-03-29,2019,Mar
871-39-9221,C,Naypyitaw,Normal,Female,"Electronic accessories",12.45,6,78.435,74.7,3.735,4.1,2019-02-09,2019,Feb
865-92-6136,A,Yangon,Normal,Male,"Food and beverages",52.75,3,166.1625,158.25,7.9125,9.3,2019-03-23,2019,Mar
733-01-9107,B,Mandalay,Normal,Male,"Home and lifestyle",82.7,6,521.01,496.2,24.81,7.4,2019-03-05,2019,Mar
163-56-7055,C,Naypyitaw,Member,Male,"Fashion accessories",48.71,1,51.1455,48.71,2.4355,4.1,2019-03-26,2019,Mar
189-98-2939,C,Naypyitaw,Normal,Male,"Fashion accessories",78.55,9,742.2975,706.95,35.3475,7.2,2019-03-01,2019,Mar
551-21-3069,C,Naypyitaw,Normal,Female,"Electronic accessories",23.07,9,218.0115,207.63,10.3815,4.9,2019-02-01,2019,Feb
212-62-1842,A,Yangon,Normal,Male,"Food and beverages",58.26,6,367.038,349.56,17.478,9.9,2019-03-28,2019,Mar
716-39-1409,B,Mandalay,Normal,Male,"Health and beauty",30.35,7,223.0725,212.45,10.6225,8,2019-03-19,2019,Mar
704-48-3927,A,Yangon,Member,Male,"Electronic accessories",88.67,10,931.035,886.7,44.335,7.3,2019-01-12,2019,Jan
628-34-3388,C,Naypyitaw,Normal,Male,"Fashion accessories",27.38,6,172.494,164.28,8.214,7.9,2019-01-05,2019,Jan
630-74-5166,A,Yangon,Normal,Male,"Sports and travel",62.13,6,391.419,372.78,18.639,7.4,2019-03-22,2019,Mar
588-01-7461,C,Naypyitaw,Normal,Female,"Food and beverages",33.98,9,321.111,305.82,15.291,4.2,2019-03-24,2019,Mar
861-77-0145,C,Naypyitaw,Member,Male,"Electronic accessories",81.97,10,860.685,819.7,40.985,9.2,2019-03-03,2019,Mar
479-26-8945,B,Mandalay,Member,Female,"Sports and travel",16.49,2,34.629,32.98,1.649,4.6,2019-02-05,2019,Feb
210-67-5886,C,Naypyitaw,Member,Female,"Health and beauty",98.21,3,309.3615,294.63,14.7315,7.8,2019-02-05,2019,Feb
227-78-1148,B,Mandalay,Normal,Female,"Fashion accessories",72.84,7,535.374,509.88,25.494,8.4,2019-02-15,2019,Feb
645-44-1170,A,Yangon,Member,Male,"Home and lifestyle",58.07,9,548.7615,522.63,26.1315,4.3,2019-01-19,2019,Jan
237-01-6122,C,Naypyitaw,Member,Female,"Home and lifestyle",80.79,9,763.4655,727.11,36.3555,9.5,2019-02-01,2019,Feb
225-98-1496,C,Naypyitaw,Normal,Female,"Fashion accessories",27.02,3,85.113,81.06,4.053,7.1,2019-03-02,2019,Mar
291-32-1427,B,Mandalay,Member,Male,"Fashion accessories",21.94,5,115.185,109.7,5.485,5.3,2019-03-05,2019,Mar
659-65-8956,B,Mandalay,Member,Male,"Fashion accessories",51.36,1,53.928,51.36,2.568,5.2,2019-01-16,2019,Jan
642-32-2990,A,Yangon,Normal,Female,"Food and beverages",10.96,10,115.08,109.6,5.48,6,2019-02-02,2019,Feb
378-24-2715,B,Mandalay,Normal,Male,"Home and lifestyle",53.44,2,112.224,106.88,5.344,4.1,2019-01-20,2019,Jan
638-60-7125,A,Yangon,Normal,Female,"Electronic accessories",99.56,8,836.304,796.48,39.824,5.2,2019-02-14,2019,Feb
659-36-1684,C,Naypyitaw,Member,Male,"Sports and travel",57.12,7,419.832,399.84,19.992,6.5,2019-01-12,2019,Jan
219-22-9386,B,Mandalay,Member,Male,"Sports and travel",99.96,9,944.622,899.64,44.982,4.2,2019-03-09,2019,Mar
336-78-2147,C,Naypyitaw,Member,Male,"Home and lifestyle",63.91,8,536.844,511.28,25.564,4.6,2019-03-13,2019,Mar
268-27-6179,B,Mandalay,Member,Female,"Fashion accessories",56.47,8,474.348,451.76,22.588,7.3,2019-03-09,2019,Mar
668-90-8900,A,Yangon,Normal,Female,"Home and lifestyle",93.69,7,688.6215,655.83,32.7915,4.5,2019-03-10,2019,Mar
870-54-3162,A,Yangon,Normal,Female,"Sports and travel",32.25,5,169.3125,161.25,8.0625,9,2019-01-27,2019,Jan
189-08-9157,C,Naypyitaw,Normal,Female,"Fashion accessories",31.73,9,299.8485,285.57,14.2785,5.9,2019-01-08,2019,Jan
663-86-9076,C,Naypyitaw,Member,Female,"Food and beverages",68.54,8,575.736,548.32,27.416,8.5,2019-01-08,2019,Jan
549-84-7482,B,Mandalay,Normal,Female,"Sports and travel",90.28,9,853.146,812.52,40.626,7.2,2019-02-08,2019,Feb
191-10-6171,B,Mandalay,Normal,Female,"Fashion accessories",39.62,7,291.207,277.34,13.867,7.5,2019-01-25,2019,Jan
802-70-5316,A,Yangon,Member,Female,"Sports and travel",92.13,6,580.419,552.78,27.639,8.3,2019-03-06,2019,Mar
695-51-0018,B,Mandalay,Normal,Female,"Sports and travel",34.84,4,146.328,139.36,6.968,7.4,2019-02-10,2019,Feb
590-83-4591,B,Mandalay,Member,Male,"Electronic accessories",87.45,6,550.935,524.7,26.235,8.8,2019-02-17,2019,Feb
483-71-1164,C,Naypyitaw,Normal,Female,"Health and beauty",81.3,6,512.19,487.8,24.39,5.3,2019-03-08,2019,Mar
597-78-7908,C,Naypyitaw,Normal,Male,"Fashion accessories",90.22,3,284.193,270.66,13.533,6.2,2019-02-18,2019,Feb
700-81-1757,A,Yangon,Normal,Female,"Electronic accessories",26.31,5,138.1275,131.55,6.5775,8.8,2019-01-18,2019,Jan
354-39-5160,A,Yangon,Member,Female,"Home and lifestyle",34.42,6,216.846,206.52,10.326,9.8,2019-02-18,2019,Feb
241-72-9525,B,Mandalay,Normal,Male,"Sports and travel",51.91,10,545.055,519.1,25.955,8.2,2019-02-16,2019,Feb
575-30-8091,A,Yangon,Normal,Male,"Sports and travel",72.5,8,609,580,29,9.2,2019-03-16,2019,Mar
731-81-9469,C,Naypyitaw,Member,Female,"Sports and travel",89.8,10,942.9,898,44.9,5.4,2019-01-23,2019,Jan
280-17-4359,C,Naypyitaw,Member,Male,"Health and beauty",90.5,10,950.25,905,45.25,8.1,2019-01-25,2019,Jan
338-65-2210,C,Naypyitaw,Member,Female,"Health and beauty",68.6,10,720.3,686,34.3,9.1,2019-02-05,2019,Feb
488-25-4221,C,Naypyitaw,Member,Female,"Food and beverages",30.41,1,31.9305,30.41,1.5205,8.4,2019-02-22,2019,Feb
239-10-7476,A,Yangon,Normal,Female,"Home and lifestyle",77.95,6,491.085,467.7,23.385,8,2019-01-21,2019,Jan
458-41-1477,C,Naypyitaw,Normal,Female,"Health and beauty",46.26,6,291.438,277.56,13.878,9.5,2019-03-08,2019,Mar
685-64-1609,A,Yangon,Member,Female,"Fashion accessories",30.14,10,316.47,301.4,15.07,9.2,2019-02-10,2019,Feb
568-90-5112,C,Naypyitaw,Normal,Male,"Health and beauty",66.14,4,277.788,264.56,13.228,5.6,2019-03-19,2019,Mar
262-47-2794,B,Mandalay,Member,Male,"Home and lifestyle",71.86,8,603.624,574.88,28.744,6.2,2019-03-06,2019,Mar
238-49-0436,A,Yangon,Normal,Male,"Health and beauty",32.46,8,272.664,259.68,12.984,4.9,2019-03-27,2019,Mar
608-96-3517,B,Mandalay,Member,Female,"Fashion accessories",91.54,4,384.468,366.16,18.308,4.8,2019-03-23,2019,Mar
584-86-7256,C,Naypyitaw,Member,Male,"Sports and travel",34.56,7,254.016,241.92,12.096,7.3,2019-03-11,2019,Mar
746-94-0204,A,Yangon,Normal,Male,"Fashion accessories",83.24,9,786.618,749.16,37.458,7.4,2019-01-29,2019,Jan
214-17-6927,C,Naypyitaw,Normal,Female,"Food and beverages",16.48,6,103.824,98.88,4.944,9.9,2019-02-07,2019,Feb
400-89-4171,C,Naypyitaw,Normal,Female,"Sports and travel",80.97,8,680.148,647.76,32.388,9.3,2019-01-28,2019,Jan
782-95-9291,A,Yangon,Member,Male,"Food and beverages",92.29,5,484.5225,461.45,23.0725,9,2019-02-20,2019,Feb
279-74-2924,B,Mandalay,Member,Male,"Electronic accessories",72.17,1,75.7785,72.17,3.6085,6.1,2019-01-04,2019,Jan
307-85-2293,B,Mandalay,Normal,Male,"Home and lifestyle",50.28,5,263.97,251.4,12.57,9.7,2019-03-07,2019,Mar
743-04-1105,B,Mandalay,Member,Male,"Health and beauty",97.22,9,918.729,874.98,43.749,6,2019-03-30,2019,Mar
423-57-2993,B,Mandalay,Normal,Male,"Sports and travel",93.39,6,588.357,560.34,28.017,10,2019-03-27,2019,Mar
894-41-5205,C,Naypyitaw,Normal,Female,"Food and beverages",43.18,8,362.712,345.44,17.272,8.3,2019-01-19,2019,Jan
275-28-0149,A,Yangon,Normal,Male,"Sports and travel",63.69,1,66.8745,63.69,3.1845,6,2019-02-25,2019,Feb
101-17-6199,A,Yangon,Normal,Male,"Food and beverages",45.79,7,336.5565,320.53,16.0265,7,2019-03-13,2019,Mar
423-80-0988,C,Naypyitaw,Normal,Male,"Sports and travel",76.4,2,160.44,152.8,7.64,6.5,2019-01-30,2019,Jan
548-46-9322,B,Mandalay,Normal,Male,"Food and beverages",39.9,10,418.95,399,19.95,5.9,2019-02-20,2019,Feb
505-02-0892,B,Mandalay,Member,Male,"Health and beauty",42.57,8,357.588,340.56,17.028,5.6,2019-02-25,2019,Feb
234-65-2137,C,Naypyitaw,Normal,Male,"Home and lifestyle",95.58,10,1003.59,955.8,47.79,4.8,2019-01-16,2019,Jan
687-47-8271,A,Yangon,Normal,Male,"Fashion accessories",98.98,10,1039.29,989.8,49.49,8.7,2019-02-08,2019,Feb
796-32-9050,A,Yangon,Normal,Male,"Food and beverages",51.28,6,323.064,307.68,15.384,6.5,2019-01-19,2019,Jan
105-31-1824,A,Yangon,Member,Male,"Sports and travel",69.52,7,510.972,486.64,24.332,8.5,2019-02-01,2019,Feb
249-42-3782,A,Yangon,Normal,Male,"Health and beauty",70.01,5,367.5525,350.05,17.5025,5.5,2019-01-03,2019,Jan
316-55-4634,B,Mandalay,Member,Male,"Food and beverages",80.05,5,420.2625,400.25,20.0125,9.4,2019-01-26,2019,Jan
733-33-4967,C,Naypyitaw,Normal,Male,"Electronic accessories",20.85,8,175.14,166.8,8.34,6.3,2019-03-03,2019,Mar
608-27-6295,B,Mandalay,Member,Male,"Electronic accessories",52.89,6,333.207,317.34,15.867,9.8,2019-01-19,2019,Jan
414-12-7047,B,Mandalay,Normal,Male,"Food and beverages",19.79,8,166.236,158.32,7.916,8.7,2019-01-18,2019,Jan
827-26-2100,A,Yangon,Member,Male,"Home and lifestyle",33.84,9,319.788,304.56,15.228,8.8,2019-03-21,2019,Mar
175-54-2529,A,Yangon,Member,Male,"Food and beverages",22.17,8,186.228,177.36,8.868,9.6,2019-03-03,2019,Mar
139-52-2867,C,Naypyitaw,Normal,Female,"Fashion accessories",22.51,7,165.4485,157.57,7.8785,4.8,2019-02-13,2019,Feb
407-63-8975,A,Yangon,Normal,Male,"Food and beverages",73.88,6,465.444,443.28,22.164,4.4,2019-03-23,2019,Mar
342-65-4817,C,Naypyitaw,Member,Male,"Health and beauty",86.8,3,273.42,260.4,13.02,9.9,2019-01-28,2019,Jan
130-98-8941,C,Naypyitaw,Normal,Male,"Fashion accessories",64.26,7,472.311,449.82,22.491,5.7,2019-02-09,2019,Feb
434-83-9547,C,Naypyitaw,Member,Male,"Food and beverages",38.47,8,323.148,307.76,15.388,7.7,2019-01-23,2019,Jan
851-28-6367,A,Yangon,Member,Male,"Sports and travel",15.5,10,162.75,155,7.75,8,2019-03-23,2019,Mar
824-88-3614,C,Naypyitaw,Normal,Male,"Health and beauty",34.31,8,288.204,274.48,13.724,5.7,2019-01-25,2019,Jan
586-25-0848,A,Yangon,Normal,Female,"Sports and travel",12.34,7,90.699,86.38,4.319,6.7,2019-03-04,2019,Mar
895-66-0685,B,Mandalay,Member,Male,"Food and beverages",18.08,3,56.952,54.24,2.712,8,2019-03-05,2019,Mar
305-14-0245,B,Mandalay,Member,Female,"Home and lifestyle",94.49,8,793.716,755.92,37.796,7.5,2019-03-03,2019,Mar
732-04-5373,B,Mandalay,Member,Male,"Home and lifestyle",46.47,4,195.174,185.88,9.294,7,2019-02-08,2019,Feb
400-60-7251,A,Yangon,Normal,Male,"Home and lifestyle",74.07,1,77.7735,74.07,3.7035,9.9,2019-02-10,2019,Feb
593-65-1552,C,Naypyitaw,Normal,Female,"Home and lifestyle",69.81,4,293.202,279.24,13.962,5.9,2019-01-28,2019,Jan
284-34-9626,B,Mandalay,Normal,Female,"Home and lifestyle",77.04,3,242.676,231.12,11.556,7.2,2019-02-11,2019,Feb
437-58-8131,B,Mandalay,Normal,Female,"Fashion accessories",73.52,2,154.392,147.04,7.352,4.6,2019-01-15,2019,Jan
286-43-6208,C,Naypyitaw,Normal,Female,"Food and beverages",87.8,9,829.71,790.2,39.51,9.2,2019-03-16,2019,Mar
641-43-2399,B,Mandalay,Normal,Male,"Home and lifestyle",25.55,4,107.31,102.2,5.11,5.7,2019-01-26,2019,Jan
831-07-6050,A,Yangon,Normal,Male,"Electronic accessories",32.71,5,171.7275,163.55,8.1775,9.9,2019-03-19,2019,Mar
556-86-3144,C,Naypyitaw,Member,Female,"Fashion accessories",74.29,1,78.0045,74.29,3.7145,5,2019-01-13,2019,Jan
848-24-9445,C,Naypyitaw,Member,Male,"Health and beauty",43.7,2,91.77,87.4,4.37,4.9,2019-03-26,2019,Mar
856-22-8149,A,Yangon,Normal,Female,"Home and lifestyle",25.29,1,26.5545,25.29,1.2645,6.1,2019-03-23,2019,Mar
699-01-4164,C,Naypyitaw,Normal,Male,"Health and beauty",41.5,4,174.3,166,8.3,8.2,2019-03-12,2019,Mar
420-11-4919,C,Naypyitaw,Member,Female,"Food and beverages",71.39,5,374.7975,356.95,17.8475,5.5,2019-02-17,2019,Feb
606-80-4905,C,Naypyitaw,Member,Female,"Sports and travel",19.15,6,120.645,114.9,5.745,6.8,2019-01-29,2019,Jan
542-41-0513,B,Mandalay,Member,Female,"Electronic accessories",57.49,4,241.458,229.96,11.498,6.6,2019-03-15,2019,Mar
426-39-2418,C,Naypyitaw,Normal,Male,"Electronic accessories",61.41,7,451.3635,429.87,21.4935,9.8,2019-01-14,2019,Jan
875-46-5808,B,Mandalay,Member,Male,"Health and beauty",25.9,10,271.95,259,12.95,8.7,2019-02-06,2019,Feb
394-43-4238,B,Mandalay,Member,Male,"Home and lifestyle",17.77,5,93.2925,88.85,4.4425,5.4,2019-02-15,2019,Feb
749-24-1565,A,Yangon,Normal,Female,"Health and beauty",23.03,9,217.6335,207.27,10.3635,7.9,2019-01-03,2019,Jan
672-51-8681,C,Naypyitaw,Member,Female,"Electronic accessories",66.65,9,629.8425,599.85,29.9925,9.7,2019-01-04,2019,Jan
